Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Philadelphia Phillies15.4,ATL12.4,KCR10.3,CLE7.7,LAD19.7,MIL2.0,PHI2.9,ARI4.1,SFG4.9,KCR7.1,BOS3.4,NYY5.4,NYY5.6,NYY10.1,LAD7.1,ARI0.9
2,New York Yankees13.7,CIN10.9,CIN9.3,ATL3.9,ARI13.7,PHI1.9,TOR2.8,MIL2.1,CLE3.3,BAL6.8,CHC1.7,BOS4.1,HOU2.0,BOS9.4,OAK2.9,LAD0.3
3,Los Angeles Dodgers12.8,SDP7.8,ATL8.6,TBR3.4,BAL11.5,LAD1.8,LAD2.5,CLE1.8,TOR2.1,NYM5.2,CLE1.6,SEA3.0,BOS1.9,SDP3.9,HOU2.6,TOR0.3
4,Atlanta Braves12.6,KCR7.4,CHW5.8,MIL3.0,NYY10.3,STL1.8,ATL1.7,TEX1.7,NYM1.9,LAD3.2,MIL1.5,SDP2.3,LAD1.8,MIL3.7,ARI2.1,PHI0.2
5,San Diego Padres10.0,TBR6.2,SDP5.3,SDP2.6,PHI9.4,KCR1.6,ARI0.7,CHC1.2,LAD1.7,TEX3.2,TEX1.2,TOR2.1,MIL1.1,SEA3.6,ATL2.0,SEA0.2
6,Houston Astros9.9,PHI6.0,PHI5.3,OAK2.5,TOR7.9,SEA1.4,BAL0.7,NYM1.1,ATL1.7,LAA3.0,LAD1.0,COL1.8,ARI1.0,CHC3.5,PHI1.5,BAL0.0
7,Milwaukee Brewers9.6,DET4.1,PIT4.6,MIA1.7,BOS7.0,HOU1.1,CHC0.6,LAD1.0,HOU1.6,CIN2.9,SEA0.9,DET1.7,BAL0.9,BAL2.6,NYY1.5,NYM-0.1
8,Baltimore Orioles9.0,HOU3.7,HOU3.9,CIN1.6,HOU6.2,BAL0.9,NYM0.4,HOU0.9,PHI1.1,STL2.4,SDP0.9,ATL1.2,CHC0.7,DET2.4,CLE0.3,NYY-0.1
9,Kansas City Royals8.1,MIL3.6,NYY3.7,STL1.6,MIL6.0,ARI0.9,TEX0.4,TOR0.8,ARI1.0,ARI2.3,DET0.7,BAL1.1,SDP0.7,LAD2.1,BAL0.3,WSN-0.2
10,Boston Red Sox6.1,NYY3.4,BOS3.2,DET1.1,SEA5.6,NYY0.9,MIN0.3,PHI0.7,BOS0.9,PHI2.1,BAL0.6,MIN1.1,OAK0.6,TOR2.1,DET0.1,TEX-0.4
11,Arizona Diamondbacks6.1,CLE2.7,DET3.0,PHI0.7,NYM5.1,LAA0.8,TBR-0.1,MIA0.4,SEA0.7,CHC1.9,TOR0.6,CHC1.1,DET0.0,HOU1.9,CHC0.0,DET-0.4
