Rk,Name,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos,Name-additional
1,Juan Soto,26,NYY,18.9,936,4088,3280,655,934,179,15,201,592,57,23,769,696,0.285,0.421,0.532,0.953,OF,sotoju01
2,Alex Bregman,31,HOU,13.6,1111,4832,4157,694,1132,265,18,191,663,42,14,576,646,0.272,0.366,0.483,0.848,3B-SS,bregmal01
3,Ha-Seong Kim,29,SDP,13.2,540,1976,1725,229,418,80,8,47,200,78,17,206,372,0.242,0.326,0.38,0.706,SS-2B-3B,kimha01
4,Paul Goldschmidt,37,STL,12.3,1928,8292,7119,1204,2056,446,23,362,1187,169,35,1050,1879,0.289,0.381,0.51,0.892,1B-DH,goldspa01
5,Christian Walker,34,ARI,11.4,832,3270,2880,427,720,158,7,147,443,25,6,318,742,0.25,0.33,0.463,0.793,1B-DH,walkech02
6,Willy Adames,29,MIL,10.4,880,3610,3227,467,800,172,5,150,472,51,22,348,982,0.248,0.322,0.444,0.766,SS,adamewi01
7,Pete Alonso,30,NYM,10.2,846,3607,3139,493,781,142,7,226,586,17,2,358,822,0.249,0.339,0.514,0.854,1B-DH,alonspe01
8,Teoscar Hernández,32,LAD,9.2,965,3861,3534,506,928,193,14,192,572,54,24,278,1142,0.263,0.32,0.488,0.808,OF-DH,hernate01
9,Gleyber Torres,28,NYY,8.7,888,3673,3281,460,870,154,4,138,441,53,24,333,746,0.265,0.334,0.441,0.774,2B-SS,torregl01
10,Anthony Santander,30,BAL,8.3,746,3115,2830,383,695,155,6,155,435,10,7,226,644,0.246,0.307,0.469,0.776,OF-DH,santaan02
11,Carlos Santana,39,MIN,6.3,2080,8780,7400,1058,1789,393,17,324,1082,58,18,1278,1449,0.242,0.354,0.431,0.785,1B-C-DH-3B,santaca01
12,Jorge Polanco,31,SEA,6,950,3998,3573,486,938,192,20,128,492,55,31,351,778,0.263,0.33,0.435,0.765,SS-2B-DH,polanjo01
13,Michael A. Taylor,34,PIT,6,1082,3476,3185,394,748,136,14,100,353,120,32,240,1054,0.235,0.29,0.381,0.671,OF,taylomi02
14,Max Kepler,32,MIN,5.9,1072,4251,3761,554,893,205,16,161,508,35,16,412,789,0.237,0.318,0.429,0.746,OF,keplema01
15,Kevin Kiermaier,35,LAD,5.9,1159,4040,3682,499,905,170,60,95,378,132,39,277,908,0.246,0.304,0.402,0.706,OF,kiermke01
16,Justin Turner,40,SEA,5.9,1678,6311,5540,797,1580,347,9,198,814,45,13,572,975,0.285,0.363,0.458,0.821,3B-DH-2B-1B-SS,turneju01
17,Brendan Rodgers,28,COL,5.6,452,1829,1690,218,449,92,8,45,197,1,0,111,391,0.266,0.316,0.409,0.726,2B-SS,rodgebr02
18,Josh Rojas,31,SEA,5.6,569,2113,1862,256,460,100,6,34,189,59,14,211,481,0.247,0.323,0.362,0.685,3B-2B-OF-SS,rojasjo01
